video_id,comment,author,language,sport
G2Gtn-4OwF8,Where was Jamaica ?,@kjw7556,en,cycling
G2Gtn-4OwF8,Rai Benjamin is GOAT,@rambler123,id,cycling
G2Gtn-4OwF8,The elegance in running style from the Botswana 🇧🇼 team is incredible to watch ! They run with so much grace- what a gift they are to the world of athletics and to the Giant Continent 🔥🔥🥰,@zazapkauari1,en,cycling
G2Gtn-4OwF8,Who pushed France?,@amsfountain8792,en,cycling
G2Gtn-4OwF8,I didn’t know Botswana existed until the olympics. Hoping to visit in the coming years!,@iLochBolt,en,cycling
G2Gtn-4OwF8,USA is OK,@4622201,en,cycling
G2Gtn-4OwF8,Rai Benjamin vs School boy🔥👊🏿🔥👊🏿🤣,@Kwasi1790,sl,cycling
G2Gtn-4OwF8,INFO : Geographicaly  Botswana is bigger than Great Britain . Its not a small south african country.,@Yefro72,en,cycling
G2Gtn-4OwF8,Me parecio ver un empujon a un corredor frances que iba adelantando?,@Diego69-1,es,cycling
G2Gtn-4OwF8,Congrats Botswana.. You are the real winners,@yediclaw,en,cycling
eMJvGjsztJk,"I would have them 2 run again, after a day or two.",@JasTheKariol,en,cycling
eMJvGjsztJk,Se non vedo il Photo finish per quanto mi riguarda ha vinto Jacobs 😊,@MASUproject,it,cycling
eMJvGjsztJk,It was 6 I passed it,@olomilela,en,cycling
eMJvGjsztJk,"I can make the 100 m in 8.2 seconds in my Mercedes Benz B-class diesel while reaching 70 km/h. 
Those men are amazing.😊",@Mark_o_Helm,en,cycling
eMJvGjsztJk,gals,@gogleshmoogle,lv,cycling
eMJvGjsztJk,Stop the very disturbing outros,@thiagobueno9953,en,cycling
eMJvGjsztJk,My best time is 10.10😅,@zarkojozic5949,en,cycling
eMJvGjsztJk,"Ssh - don't say 'Bolt' or 9.58 secs.  The 6ft 5inch 1.95m Jamaican's Olympic and World records will likely never be beaten -  Wikipedia::   ""Bolt's personal best of 9.58 seconds in 2009 in the 100 metres is the fastest ever run.. Bolt also holds the second fastest time of 9.63 seconds, the current Olympic record"".  
So half a metre ahead of this American Olympic victor in Paris.
See Wiki / Bolt pages:
https://en.wikipedia.org/wiki/Usain_Bolt#cite_note-:1-17
Paul G",@paulgovan3507,en,cycling
eMJvGjsztJk,"Ridiculous - they don't show the photo-finish shot - and they made the athletes wait behind the blocks for 3 minutes before the gun/start... 
So America chosen as victors without proof and a media that lamely accepts it - no questions asked.  Sounds all too familiar in many areas far beyond sport...
Paul G",@paulgovan3507,en,cycling
eMJvGjsztJk,A weak race.. a wet flannel race.. a big error for these explosive boys...akin to 2x false starts in my opinion.,@Hertzultra,en,cycling
eMJvGjsztJk,What are you on about. Everyone ran sub 9.90. First time in history.,@SPZ909,en,cycling
eMJvGjsztJk,"@@SPZ909 Tair enough said in that light yea but that was really poor and would have been faster if they had got on with it.. You need nervous tension for an explosive short race you need adrenaline.  A wet flannel race for sure. 
Seen much better 100m than that.  I guess it is about how you see it and yea first time in history blaa blaa
Thinking if there is more analysis done on the recent performances of all those athletes will bring a clearer pic.  The 1st place athlete should not be the one storming ahead like that... check his recent performances he may even be doping.
And don't start squawking over that comment please.",@Hertzultra,en,cycling
283jLyvUhQE,"Wow that stage was cheap looking. And they saved a ton on the lighting as well, having it outside during the day. 😂😂😂",@Commentator541,en,cycling
283jLyvUhQE,not even like Lady Gaga but damn this is iconic. The best Olympics opening ever. magic,@colinafobe2152,en,cycling
283jLyvUhQE,Per me è stata favolosa,@daxleo1,it,cycling
283jLyvUhQE,FAKE wideo :/ no thx,@lenariuse,en,cycling
283jLyvUhQE,Disgusting,@emaspork4260,de,cycling
283jLyvUhQE,This should be in DDR,@juancarlosurisbaz8547,en,cycling
283jLyvUhQE,😂😂😂😂,@t.f.6332,unknown,cycling
283jLyvUhQE,Horrible,@ekortal,en,cycling
283jLyvUhQE,"Zizi jeanmaire le TOP ,,,,,,,,, LADY GAGA THE BEST ❤❤❤❤❤❤❤❤❤",@massimogiordano2778,sl,cycling
283jLyvUhQE,Great miming skills,@harrys1505,sv,cycling
aBrmCgCuwno,Stiedemann Turnpike,@NishaCarthens-e9t,de,cycling
aBrmCgCuwno,"Top acrobatică, zero artistica.",@mihaelabruma8006,ro,cycling
aBrmCgCuwno,"I don't like the direction gymnastics is going. It used to be artistic, elegant and  graceful. Now it's heavy, big muscles and no artistic element into it. 
Watch the Soviet or Romenian gymnasts from 70' and 80, e.g. Comaneci, Korbut or Mukhina. They were truly amazing.",@bobo4665,en,cycling
aBrmCgCuwno,Astonishing,@howard1beale,en,cycling
aBrmCgCuwno,Elmo Ways,@BlakeOlfers-m7k,so,cycling
aBrmCgCuwno,Her Athleticism is off the scale… but I wouldn’t say she’s the most graceful Gymnast,@conorgreen1294,en,cycling
aBrmCgCuwno,"Як гімнастка вона повний нуль.
Як акробатка може бути , але це не точно",@user-nr5ih6yb5p,uk,cycling
aBrmCgCuwno,Rebeca Andrade❤🎉congrats,@patrickmunhoz4937,ca,cycling
aBrmCgCuwno,"I'm no expert,  but I've seen her do more clean landings.",@elisaa9981,en,cycling
aBrmCgCuwno,❤😮😮😅,@MaryProsser-f9x,unknown,cycling
hgus8GuqNXE,Love it❤❤❤❤❤❤❤❤😅😊😊😊😊😊,@user-jr8lz6kp9t,unknown,cycling
hgus8GuqNXE,"Невже тепер за такі виступи з купою помилок дають медалі, та ще й золоті...
Куди цей спорт котиться?",@user-nr5ih6yb5p,uk,cycling
hgus8GuqNXE,The Incredible Hulk,@GrahamSmith-cr7ey,en,cycling
hgus8GuqNXE,Great athlete ❤❤❤,@madm8664,en,cycling
hgus8GuqNXE,Who 2. Gırl?,@Diorliaa,tr,cycling
hgus8GuqNXE,"Just wow, every single time her landings are atrocious!
I understand the difficulty but this is not a circus act.",@florinpopescu9394,en,cycling
hgus8GuqNXE,errors all around. how is she even considered on same tier as nadia or olga is beyond me. her floor routine is good though.,@sinanogan,en,cycling
hgus8GuqNXE,Ma x avere 10 non bisogna fermarsi senza spostare la gamba?,@angelstudium7027,it,cycling
hgus8GuqNXE,There is no way in hell that she doesn’t take steroids,@ingeniousmaultasche6602,en,cycling
hgus8GuqNXE,Everything but no grace.,@RaduVezure,en,cycling
QRd6Ne3mQQA,Bro's aura is next level,@Lokesh-bm1eu,en,
QRd6Ne3mQQA,"😮😮

.",@ShantanuVerma-t3i,unknown,
QRd6Ne3mQQA,🎉😅,@akhtarhabib9551,unknown,
QRd6Ne3mQQA,🎉,@akhtarhabib9551,unknown,
QRd6Ne3mQQA,Fucck8ng what a short,@sapnatripathi506,en,
QRd6Ne3mQQA,"Ну, на самом деле, стрелок он средний. Серебро турция взяла потому, что стрельба была парной. Дикеч был в команде с девушкой, которая и обеспечила взятие серебра.",@lumi3656,ru,
QRd6Ne3mQQA,The first 😂😂,@nirs-zf2zh,en,
QRd6Ne3mQQA,Yyyyyyyeeeeeeeeeeeeeeee,@MikdatOzgun,nl,
